uniq_id,id,name,category,full_address,zip_code,lat,lng,state,url,alia,phone,price,rating,review_count,city,transaction_type
l0GoDj7bRDpRPOzT3B8yjQ,0,Ruby Tuesday,"Burgers, American, Sandwiches","3150 Kiln Creek Pkwy, Yorktown, VA, 23693",23693,37.1172714,-76.4646072,VA,https://www.yelp.com/biz/ruby-tuesday-yorktown?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,ruby-tuesday-yorktown,17578776310.0,$$,2.5,29.0,Yorktown,delivery&pickup
y4oAop23TUE-sHPDdZ0I0Q,1,Asian Grill,"Asian, Chinese, Sushi, Asian Fusion, South Asian","12442 Warwick Blvd, Newport News, VA, 23606",23606,37.071482,-76.492524,VA,https://www.yelp.com/biz/asian-grill-newport-news?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,asian-grill-newport-news,17575955942.0,$$,4.0,135.0,Newport News,delivery&pickup
MMlYeZegOajGPNs6RRXGZQ,2,Donutz On A Stick Ice Cream and Grill,"Dessert: Other, Ice Cream + Frozen Yogurt, Burgers","2809 Hampton Hwy, Yorktown, VA, 23693",23693,37.102761,-76.418783,VA,https://www.yelp.com/biz/donutz-on-a-stick-ice-cream-and-grill-yorktown?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,donutz-on-a-stick-ice-cream-and-grill-yorktown,17578657663.0,,4.0,41.0,Yorktown,delivery&pickup
aMUyRUmk_QH6hggdUhLrig,3,Domoishi,"Asian, Asian Fusion, Wings","2870 Kilgore Avenue, Hampton, VA, 23666",23666,37.04266216686416,-76.39086950077491,VA,https://www.yelp.com/biz/domoishi-hampton?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,domoishi-hampton,17574533888.0,$$,4.5,38.0,Hampton,delivery&pickup
i5-EJKci6mtUY35v3Ovp6Q,4,1865 Brewing,"Alcohol, Black-owned, American, Coffee and Tea, Wine","9 South Mallory Street, Hampton, VA, 23663",23663,37.01891,-76.32154,VA,https://www.yelp.com/biz/1865-brewing-hampton?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,1865-brewing-hampton,17579649571.0,$$,4.5,27.0,Hampton,
5H3i4Noe1Gs9k5VF1Wc9Lg,5,Cherry-O To Go,"BBQ, American, Burgers, Comfort Food, Comfort Food, Soul Food","3760 Kecoughtan Road, Hampton, VA, 23669",23669,37.008825,-76.356374,VA,https://www.yelp.com/biz/cherry-o-to-go-hampton?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,cherry-o-to-go-hampton,17579647713.0,,3.5,6.0,Hampton,pickup&delivery
LOdE2XJLQ6broS8o5lC3Gg,6,Tucanos Brazilian Grill,"Steak, Seafood, Brazilian","11820 Fountain Way, Newport News, VA, 23606",23606,37.08629,-76.47205,VA,https://www.yelp.com/biz/tucanos-brazilian-grill-newport-news?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,tucanos-brazilian-grill-newport-news,17575979500.0,$$,3.0,490.0,Newport News,pickup&delivery&restaurant_reservation
mPCsuIEQN4Z1fKz4swrVCg,7,The Cheesesteak Shop,"Mediterranean, Greek, Vegetarian, Healthy","13678 Warwick Blvd, Newport News, VA, 23602",23602,37.12078,-76.52545,VA,https://www.yelp.com/biz/the-cheesesteak-shop-newport-news-2?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,the-cheesesteak-shop-newport-news-2,17578722272.0,,2.5,9.0,Newport News,pickup&delivery
n8AcTYb1humYW_SW4kVV1A,8,Volcano Hibachi Express,"Japanese, Asian, Sushi","12515 Jefferson Ave, Newport News, VA, 23602",23602,37.1271610029523,-76.5118651293027,VA,https://www.yelp.com/biz/volcano-hibachi-express-newport-news?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,volcano-hibachi-express-newport-news,17579685180.0,$$,2.0,93.0,Newport News,pickup&delivery
ClP3seTGgeR5W4HI2HjF6w,9,Chipotle Mexican Grill,"Healthy, Mexican","3510 Von Schilling Dr, Hampton, VA, 23666",23666,37.0435632,-76.393138,VA,https://www.yelp.com/biz/chipotle-mexican-grill-hampton-2?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,chipotle-mexican-grill-hampton-2,17578267890.0,$,2.0,143.0,Hampton,delivery&pickup
mla6cbB71wQf2zZFVuHeFw,10,Los Paisas Locos,"Mexican, Chicken, Seafood","11710 Jefferson Ave, Newport News, VA, 23606",23606,37.079401310739,-76.47701062599184,VA,https://www.yelp.com/biz/los-paisas-locos-newport-news?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,los-paisas-locos-newport-news,17575958226.0,$,4.0,281.0,Newport News,delivery&pickup
wOxNjQcErrdyjy0E51zU1g,11,U-Bolt Pizza,"Italian, Pasta, Comfort Food","91 Coliseum Crossing, Hampton, VA, 23666",23666,37.0501076100718,-76.3919834958938,VA,https://www.yelp.com/biz/u-bolt-pizza-hampton?adjust_creative=UW7CO2EPvh3Ro3-B-wXNlw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UW7CO2EPvh3Ro3-B-wXNlw,u-bolt-pizza-hampton,,,4.5,15.0,Hampton,
